source_url	part	start_byte	end_byte	bytes	sha256	filename
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00029	2642411520	2736783359	94371840	ee4b6f38ca5004f5ad4147c088b2e05f8553429bc766ab7818e92897416a1503	archive_parts/pg-all-text-00029.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00030	2736783360	2831155199	94371840	67e52c20c5c4dd29161f6d2ee68c9728ba99c80ba8f464d62850854cac91ec94	archive_parts/pg-all-text-00030.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00031	2831155200	2925527039	94371840	7fdc69aa52b968c0f26ca9874ac70b8677ae44895d9c565241bdbb81dc5f3c92	archive_parts/pg-all-text-00031.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00032	2925527040	3019898879	94371840	968f35caec117c8234ab20f10860c199f6dd3b394caf37d290ddfb397a040adc	archive_parts/pg-all-text-00032.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00033	3019898880	3114270719	94371840	e677da15af52b15d9e484a4df3f4f19abf051dabee5c6b811bf2764325a45d86	archive_parts/pg-all-text-00033.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00034	3114270720	3208642559	94371840	30d5962c2c49e288cc346f0f5878e7f5061566b6d5fa4ec68767527d01e39c67	archive_parts/pg-all-text-00034.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00035	3208642560	3303014399	94371840	978fce788ed47d2c3a43532b27d9434bf4ddda7706bc606f97ce7df12cec5198	archive_parts/pg-all-text-00035.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00036	3303014400	3397386239	94371840	7577c4bbb2e9bfd6ef65570172315d794377caf9876c443cc4cb66562848d4a4	archive_parts/pg-all-text-00036.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00037	3397386240	3491758079	94371840	27fb212a0f0e74d3521c791be395480f68f517c9603a9d2708e66fe8b954b3fd	archive_parts/pg-all-text-00037.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00038	3491758080	3586129919	94371840	15e684ed65d1d874a0f60b0a08f98a4a7c83628b06c049c18a341869ec955f8a	archive_parts/pg-all-text-00038.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00039	3586129920	3680501759	94371840	ab9c8eb02c5fe2e11e75dae7906239b85eb07ebfabb522c6d44dfa64c766de0d	archive_parts/pg-all-text-00039.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00040	3680501760	3774873599	94371840	409c8e0617021f1d298d917f4c85fb534ddd5e7193d0d1c9d11cee969ae2f73e	archive_parts/pg-all-text-00040.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00041	3774873600	3869245439	94371840	2a674ef12497998c9fa1d6e176049e960b06ea2e574828aaae8fdec075a112e0	archive_parts/pg-all-text-00041.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00042	3869245440	3963617279	94371840	ab5e2aabc2c08395322a78e1d4147e479ce784e087d1bd4067d5486993678cfa	archive_parts/pg-all-text-00042.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00043	3963617280	4057989119	94371840	5800ec430e319929b49922d7ce1b2127457baadc705259b536f6369756289b0c	archive_parts/pg-all-text-00043.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00044	4057989120	4152360959	94371840	d64e5d926abb5c528a7a674f2d81ced7292f690b3f0fc63f0ce35bc25901d1da	archive_parts/pg-all-text-00044.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00045	4152360960	4246732799	94371840	cafef2a3c5bd9dee35c12430c6dbf8845a49e0ead3baee8c48da4bcdd4b0d2dc	archive_parts/pg-all-text-00045.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00046	4246732800	4341104639	94371840	5ff35f587760782c58205c350169c6ded8f924cfa674b54c7ed88cc40c3aa148	archive_parts/pg-all-text-00046.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00047	4341104640	4435476479	94371840	2399cb828f07c7b85a0668c948c77f5c2a4582902867e06f7d3dc1f27b08e06f	archive_parts/pg-all-text-00047.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00048	4435476480	4529848319	94371840	7d653822b41feaeb0d7d7aa936eb75800e9fb15d158fabe571e03156cff8e535	archive_parts/pg-all-text-00048.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00049	4529848320	4624220159	94371840	6928e6cb4a982fe61fe683b854a10c0e598962cc3d1b67f025abbe390e5e6372	archive_parts/pg-all-text-00049.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00050	4624220160	4718591999	94371840	ebbaca4ad9cae40c58e4c25498ec3697a6e499315298b67902a3975a4cf73130	archive_parts/pg-all-text-00050.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00051	4718592000	4812963839	94371840	c460587e3f38574b288c2275493da7410c91e064bee817fbfc086b94168c4eca	archive_parts/pg-all-text-00051.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00052	4812963840	4907335679	94371840	c49a3beb4673245f81cd83b56196f9261abc963f1d6c73e25c1f72e68ccc4bfe	archive_parts/pg-all-text-00052.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00053	4907335680	5001707519	94371840	949197bee9d5b4e996f99b4fd81671cc1386acd481d6e5fe7f9b012265f81244	archive_parts/pg-all-text-00053.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00054	5001707520	5096079359	94371840	0d182c8c94e8d3bfb5f9f3a161009e4b371d622cc89dc018df8b1fbbf169305a	archive_parts/pg-all-text-00054.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00055	5096079360	5190451199	94371840	e7952e2081f4fa2c87a4264eb0488213614a2668ed0b7b119adc5a0f1e206146	archive_parts/pg-all-text-00055.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00056	5190451200	5284823039	94371840	dc1950b57c7441288dfc5a7ef0df93f5f23c134f4edafbd1485662ca43fd17ca	archive_parts/pg-all-text-00056.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00057	5284823040	5379194879	94371840	46144087b01c82c6a6adfa0d93606bbb677958ceeb8561e9f83c012fdcc47026	archive_parts/pg-all-text-00057.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00058	5379194880	5473566719	94371840	f3c1d242b618feb6d467ec221a0aff244f2044f2d7b43e0066500e4659e3c00a	archive_parts/pg-all-text-00058.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00059	5473566720	5567938559	94371840	e30ba655b687d28791974ecd7c2330229e432673ae0ed363c42ee9b594983ae6	archive_parts/pg-all-text-00059.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00060	5567938560	5662310399	94371840	c89deeec636bf79bd5bb3f7361178c156220701a6fd07b05b4e7cbb20bbe4bde	archive_parts/pg-all-text-00060.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00061	5662310400	5756682239	94371840	df27ea1e187e3cc52371b47cc9b08a7bc54ab9949a475773d45e613bc18cef72	archive_parts/pg-all-text-00061.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00062	5756682240	5851054079	94371840	d9c0db2c3c21445d51ee6d2f5bc4c978acd82351651c4b53b021cc4f80f25302	archive_parts/pg-all-text-00062.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00063	5851054080	5945425919	94371840	21f6f6a50b39845dd908fcd4b89bfb706a0bf127b357edfd67a59e0d0980c545	archive_parts/pg-all-text-00063.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00064	5945425920	6039797759	94371840	805c15ea3687876ef1f14088357e53daa4a2f35241416cf61fc175f87198c677	archive_parts/pg-all-text-00064.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00065	6039797760	6134169599	94371840	e4b91cb5ecf3c15d66d810f9ed35ab18b8fe8f94ecda262f5fc3464737c046b5	archive_parts/pg-all-text-00065.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00066	6134169600	6228541439	94371840	1bde9479e5a546ca14fb89c9cb078d09fbaac3af627775284af71d6104e98154	archive_parts/pg-all-text-00066.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00067	6228541440	6322913279	94371840	5740226826587286ee3575c783c4d5a833e8a29caec48249989b1556db383b9a	archive_parts/pg-all-text-00067.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00068	6322913280	6417285119	94371840	74cb591e61f38cc47e57c623654acd06e4acdd7e85112819f4940aa0289ddc16	archive_parts/pg-all-text-00068.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00069	6417285120	6511656959	94371840	af507f4f5a0f407830eced0f805da2278c6f5f30ba4d7b575e2971275e360224	archive_parts/pg-all-text-00069.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00070	6511656960	6606028799	94371840	b2353ad5ef1c7b0fcae9e56a683bc8d852111e9b01594859131afa13499da7d2	archive_parts/pg-all-text-00070.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00071	6606028800	6700400639	94371840	605e9ad4a581e44cd32b505c73f9e84edd90304d205f15e27a216c60b760688a	archive_parts/pg-all-text-00071.part
https://www.gutenberg.org/cache/epub/feeds/txt-files.tar.zip	00072	6700400640	6794772479	94371840	9246b8ef6dc99f71b97ddd38faba25db9a92250441c0dad52fca0e47f94eadf3	archive_parts/pg-all-text-00072.part
